Accession,Description,15,20,25,30,35,40,45,50,55,60,# AAs,MW [kDa],calc. pI
769866472,PREDICTED: uncharacterized protein LOC105432216 [Pogonomyrmex barbatus],1,0.852,0.336,1.161,0.859,0.461,0.537,0.407,0.495,0.429,776,88.7,7.84
769849283,PREDICTED: uncharacterized protein LOC105426483 [Pogonomyrmex barbatus],1,0.890,0.341,1.199,0.855,0.438,0.603,0.383,0.457,0.420,495,54.8,5.48
769842753,"PREDICTED: peroxisomal multifunctional enzyme type 2, partial [Pogonomyrmex barbatus]",1,0.847,0.370,1.035,0.853,0.464,0.540,0.456,0.485,0.385,143,16.1,9.17
769834297,"PREDICTED: phospholipase A1-like, partial [Pogonomyrmex barbatus]",1,0.825,0.348,1.051,0.839,0.442,0.712,0.439,0.542,0.497,148,16.5,6.51
769837816,PREDICTED: uncharacterized protein LOC105422424 [Pogonomyrmex barbatus],1,0.847,0.353,1.159,0.836,0.366,0.443,0.262,0.346,0.290,79,9.5,9.63
769837653,PREDICTED: elongation factor 1-beta' [Pogonomyrmex barbatus],1,0.838,0.356,1.120,0.832,0.411,0.538,0.373,0.400,0.329,220,24.4,4.70
769867883,PREDICTED: muscle-specific protein 20 [Pogonomyrmex barbatus],1,0.845,0.333,1.150,0.825,0.427,0.630,0.417,0.523,0.470,184,20.5,8.37
769836698,PREDICTED: uncharacterized protein LOC105422011 isoform X1 [Pogonomyrmex barbatus],1,0.886,0.410,1.209,0.818,0.406,0.503,0.364,0.398,0.414,297,33.4,6.87
769835466,PREDICTED: RNA-binding protein 4 isoform X5 [Pogonomyrmex barbatus],1,0.801,0.381,1.121,0.808,0.415,0.617,0.390,0.511,0.468,358,37.0,7.93
769849690,PREDICTED: thioredoxin-2 isoform X2 [Pogonomyrmex barbatus],1,0.757,0.321,1.127,0.800,0.378,0.495,0.330,0.390,0.397,110,12.3,4.74
769860930,"PREDICTED: putative ATP synthase subunit f, mitochondrial [Pogonomyrmex barbatus]",1,0.895,0.314,1.157,0.798,0.368,0.405,0.275,0.313,0.264,112,13.3,10.08
769851584,PREDICTED: LOW QUALITY PROTEIN: NSFL1 cofactor p47 [Pogonomyrmex barbatus],1,0.915,0.442,1.175,0.796,0.528,0.629,0.488,0.508,0.458,384,42.2,5.01
769863439,PREDICTED: ferritin heavy polypeptide-like 17 [Pogonomyrmex barbatus],1,0.823,0.325,1.046,0.795,0.424,0.549,0.408,0.504,0.463,221,25.1,5.48
769866549,PREDICTED: muscle LIM protein Mlp84B-like isoform X2 [Pogonomyrmex barbatus],1,0.813,0.318,1.062,0.786,0.436,0.645,0.481,0.581,0.537,495,53.6,8.29
769868057,PREDICTED: probable pterin-4-alpha-carbinolamine dehydratase [Pogonomyrmex barbatus],1,0.860,0.354,1.159,0.785,0.406,0.487,0.340,0.410,0.400,138,15.7,9.74
769833565,"PREDICTED: fatty acid-binding protein, muscle isoform X2 [Pogonomyrmex barbatus]",1,0.802,0.331,1.163,0.785,0.427,0.640,0.416,0.510,0.436,133,15.1,5.74
769849828,PREDICTED: ecdysteroid-regulated 16 kDa protein [Pogonomyrmex barbatus],1,0.842,0.333,1.117,0.779,0.418,0.536,0.353,0.416,0.328,155,17.0,5.25
769869234,"PREDICTED: chymotrypsin-1-like, partial [Pogonomyrmex barbatus]",1,0.788,0.342,1.138,0.778,0.425,0.608,0.425,0.482,0.422,232,24.9,5.68
769848139,PREDICTED: nucleoside diphosphate kinase [Pogonomyrmex barbatus],1,0.785,0.330,1.087,0.776,0.397,0.483,0.352,0.352,0.216,170,19.2,7.87
769837490,"PREDICTED: complement component 1 Q subcomponent-binding protein, mitochondrial [Pogonomyrmex barbatus]",1,0.766,0.356,1.066,0.775,0.403,0.548,0.351,0.406,0.382,265,29.4,5.31
769835516,PREDICTED: beta-lactamase-like protein 2 [Pogonomyrmex barbatus],1,0.831,0.363,1.079,0.773,0.424,0.567,0.435,0.394,0.349,296,33.9,7.40
769833563,PREDICTED: probable fatty acid-binding protein isoform X1 [Pogonomyrmex barbatus],1,0.801,0.330,1.151,0.772,0.426,0.627,0.410,0.492,0.412,137,15.5,6.76
769830166,PREDICTED: histidine triad nucleotide-binding protein 1 [Pogonomyrmex barbatus],1,0.856,0.331,1.078,0.769,0.396,0.488,0.312,0.321,0.287,155,17.3,9.35
769834023,"PREDICTED: superoxide dismutase [Mn], mitochondrial [Pogonomyrmex barbatus]",1,0.816,0.344,1.088,0.764,0.451,0.633,0.423,0.512,0.467,216,24.3,8.00
769861242,PREDICTED: uncharacterized protein DDB_G0290685-like isoform X2 [Pogonomyrmex barbatus],1,0.827,0.323,1.112,0.764,0.401,0.549,0.338,0.404,0.388,392,40.2,4.28
769840043,PREDICTED: protein takeout [Pogonomyrmex barbatus],1,0.819,0.315,1.081,0.763,0.420,0.474,0.308,0.313,0.219,250,27.6,6.77
769837170,PREDICTED: proteasome subunit beta type-1 [Pogonomyrmex barbatus],1,0.829,0.340,1.125,0.759,0.390,0.463,0.302,0.301,0.279,236,25.8,6.89
769867887,PREDICTED: alpha-N-acetylgalactosaminidase [Pogonomyrmex barbatus],1,0.832,0.365,1.065,0.758,0.411,0.491,0.339,0.265,0.195,435,49.7,5.53
769868607,PREDICTED: proteasome subunit alpha type-5 [Pogonomyrmex barbatus],1,0.853,0.373,1.062,0.755,0.377,0.453,0.321,0.224,0.174,242,26.7,4.98
769856211,PREDICTED: xanthine dehydrogenase 1-like [Pogonomyrmex barbatus],1,0.865,0.404,1.018,0.750,0.478,0.601,0.409,0.448,0.396,1267,140.2,7.42
769861380,PREDICTED: uncharacterized protein LOC105430540 [Pogonomyrmex barbatus],1,0.826,0.354,1.035,0.748,0.431,0.553,0.367,0.427,0.335,1382,163.5,7.44
769839578,PREDICTED: LOW QUALITY PROTEIN: reticulon-1 [Pogonomyrmex barbatus],1,0.774,0.315,1.033,0.746,0.387,0.519,0.334,0.342,0.311,468,51.8,4.82
769837354,"PREDICTED: isochorismatase domain-containing protein 2, mitochondrial-like [Pogonomyrmex barbatus]",1,0.817,0.307,1.030,0.745,0.413,0.489,0.335,0.308,0.222,203,22.7,7.94
769868332,PREDICTED: LOW QUALITY PROTEIN: NECAP-like protein CG9132 [Pogonomyrmex barbatus],1,0.877,0.369,1.106,0.743,0.400,0.456,0.333,0.338,0.286,251,27.7,7.34
769856897,"PREDICTED: dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial [Pogonomyrmex barbatus]",1,0.819,0.358,1.054,0.743,0.422,0.497,0.361,0.325,0.207,479,52.1,9.14
769855776,"PREDICTED: LOW QUALITY PROTEIN: ATP synthase subunit alpha, mitochondrial [Pogonomyrmex barbatus]",1,0.840,0.333,1.081,0.741,0.384,0.412,0.247,0.192,0.142,548,59.5,9.06
769838594,PREDICTED: muscle M-line assembly protein unc-89-like [Pogonomyrmex barbatus],1,0.778,0.450,0.959,0.741,0.529,0.622,0.486,0.464,0.449,921,103.8,5.62
769868737,PREDICTED: uncharacterized family 31 glucosidase KIAA1161 [Pogonomyrmex barbatus],1,0.809,0.323,1.096,0.740,0.422,0.561,0.358,0.361,0.272,657,76.2,5.00
769846269,PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC105425388 [Pogonomyrmex barbatus],1,0.840,0.394,1.037,0.740,0.555,0.602,0.354,0.307,0.250,1778,206.3,4.46
769863312,"PREDICTED: dihydrolipoyl dehydrogenase, mitochondrial [Pogonomyrmex barbatus]",1,0.791,0.309,1.054,0.740,0.422,0.572,0.379,0.416,0.361,508,54.3,8.10
769837957,PREDICTED: uncharacterized protein LOC105422463 [Pogonomyrmex barbatus],1,0.828,0.324,1.009,0.737,0.407,0.485,0.314,0.334,0.235,664,75.5,8.43
769829816,"PREDICTED: chymotrypsin-2-like, partial [Pogonomyrmex barbatus]",1,0.728,0.321,1.035,0.737,0.410,0.554,0.393,0.407,0.324,221,24.1,8.25
769840059,PREDICTED: uncharacterized protein LOC105423224 [Pogonomyrmex barbatus],1,0.776,0.341,0.991,0.736,0.377,0.496,0.345,0.344,0.306,241,27.7,5.36
769854295,PREDICTED: uncharacterized protein LOC105428214 [Pogonomyrmex barbatus],1,0.788,0.333,1.096,0.736,0.389,0.436,0.316,0.231,0.172,540,61.9,8.43
769853261,PREDICTED: ubiquitin-conjugating enzyme E2 L3 [Pogonomyrmex barbatus],1,0.809,0.323,1.092,0.733,0.403,0.509,0.368,0.436,0.370,159,18.3,8.57
769860819,PREDICTED: hexamerin-like [Pogonomyrmex barbatus],1,0.798,0.352,1.028,0.733,0.428,0.514,0.366,0.367,0.280,682,80.5,6.86
769831764,PREDICTED: muscle-specific protein 20-like [Pogonomyrmex barbatus],1,0.845,0.314,1.088,0.733,0.397,0.529,0.339,0.411,0.370,182,20.3,9.03
769860568,PREDICTED: putative GTP cyclohydrolase 1 type 2 NIF3L1 isoform X4 [Pogonomyrmex barbatus],1,0.813,0.337,1.045,0.732,0.417,0.467,0.326,0.306,0.220,305,34.4,7.59
769857039,PREDICTED: peroxiredoxin 1 [Pogonomyrmex barbatus],1,0.825,0.313,1.112,0.732,0.412,0.563,0.370,0.412,0.349,195,21.8,6.21
769840405,PREDICTED: receptor expression-enhancing protein 5-like isoform X2 [Pogonomyrmex barbatus],1,0.852,0.326,1.093,0.732,0.349,0.400,0.244,0.269,0.240,179,21.0,8.48
769835132,"PREDICTED: NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial [Pogonomyrmex barbatus]",1,0.879,0.376,1.107,0.729,0.365,0.398,0.307,0.299,0.265,243,26.9,8.18
769863019,PREDICTED: LOW QUALITY PROTEIN: epididymal secretory protein E1-like [Pogonomyrmex barbatus],1,0.871,0.329,1.119,0.727,0.420,0.610,0.422,0.505,0.440,151,16.4,5.01
769839900,PREDICTED: LOW QUALITY PROTEIN: juvenile hormone esterase-like [Pogonomyrmex barbatus],1,0.891,0.354,0.975,0.727,0.402,0.471,0.282,0.235,0.143,577,65.2,8.85
769831762,PREDICTED: muscle-specific protein 20 [Pogonomyrmex barbatus],1,0.904,0.328,1.161,0.726,0.403,0.493,0.310,0.373,0.330,168,18.8,8.43
769839062,PREDICTED: trypsin-1-like [Pogonomyrmex barbatus],1,0.776,0.323,1.024,0.726,0.399,0.558,0.384,0.423,0.363,292,31.7,5.31
769864359,PREDICTED: paxillin isoform X1 [Pogonomyrmex barbatus],1,0.797,0.370,1.066,0.724,0.460,0.613,0.469,0.594,0.461,525,57.8,5.64
769856580,PREDICTED: protein D2-like isoform X3 [Pogonomyrmex barbatus],1,0.848,0.305,1.102,0.722,0.381,0.519,0.331,0.420,0.375,182,20.4,9.19
769859729,PREDICTED: peroxiredoxin-6-like [Pogonomyrmex barbatus],1,0.737,0.316,1.027,0.720,0.381,0.534,0.363,0.411,0.398,220,25.1,6.07
769833138,PREDICTED: 27 kDa hemolymph protein-like [Pogonomyrmex barbatus],1,0.802,0.336,1.022,0.720,0.362,0.505,0.317,0.340,0.363,311,34.8,5.12
769831063,PREDICTED: uncharacterized protein LOC105425311 isoform X2 [Pogonomyrmex barbatus],1,0.819,0.367,1.099,0.720,0.372,0.536,0.375,0.435,0.421,341,38.3,5.02
769862735,PREDICTED: nuclease-sensitive element-binding protein 1 isoform X4 [Pogonomyrmex barbatus],1,0.824,0.272,1.078,0.719,0.416,0.562,0.351,0.401,0.387,260,28.4,10.15
769837090,PREDICTED: juvenile hormone esterase-like [Pogonomyrmex barbatus],1,0.892,0.358,0.974,0.719,0.428,0.465,0.285,0.231,0.152,408,46.7,8.60
769837088,PREDICTED: uncharacterized protein LOC105422153 [Pogonomyrmex barbatus],1,0.878,0.365,0.969,0.719,0.428,0.494,0.316,0.251,0.156,1502,174.2,7.87
769853708,PREDICTED: mitochondrial-processing peptidase subunit beta [Pogonomyrmex barbatus],1,0.800,0.305,1.080,0.719,0.335,0.388,0.333,0.411,0.358,443,49.4,5.99
769836714,PREDICTED: superoxide dismutase [Cu-Zn]-like [Pogonomyrmex barbatus],1,0.774,0.347,1.055,0.719,0.420,0.596,0.475,0.519,0.435,215,23.1,6.52
769841175,"PREDICTED: superoxide dismutase [Cu-Zn], partial [Pogonomyrmex barbatus]",1,0.797,0.326,1.063,0.718,0.406,0.528,0.336,0.422,0.380,130,13.3,6.42
769843782,PREDICTED: troponin T isoform X2 [Pogonomyrmex barbatus],1,0.770,0.312,1.041,0.717,0.407,0.595,0.424,0.526,0.489,380,45.6,4.88
769842106,PREDICTED: uncharacterized protein LOC105423946 [Pogonomyrmex barbatus],1,0.802,0.316,1.018,0.716,0.421,0.568,0.397,0.452,0.444,348,39.9,8.06
769855429,PREDICTED: selenium-binding protein 1-A [Pogonomyrmex barbatus],1,0.826,0.335,1.076,0.715,0.405,0.468,0.308,0.321,0.232,482,54.7,6.58
769840053,PREDICTED: uncharacterized protein LOC105423221 [Pogonomyrmex barbatus],1,0.825,0.340,0.968,0.714,0.438,0.538,0.376,0.351,0.329,244,27.8,5.83
769843780,"PREDICTED: troponin T, skeletal muscle isoform X1 [Pogonomyrmex barbatus]",1,0.775,0.312,1.046,0.714,0.410,0.587,0.419,0.522,0.486,380,45.7,4.87
769832805,"PREDICTED: acetyl-CoA acetyltransferase, cytosolic [Pogonomyrmex barbatus]",1,0.838,0.351,1.042,0.714,0.404,0.479,0.342,0.336,0.266,394,41.3,6.70
769834046,PREDICTED: LOW QUALITY PROTEIN: chymotrypsin-1-like [Pogonomyrmex barbatus],1,0.823,0.333,1.075,0.713,0.432,0.526,0.370,0.401,0.320,247,26.3,8.06
769846449,"PREDICTED: ATP synthase subunit beta, mitochondrial [Pogonomyrmex barbatus]",1,0.827,0.330,1.090,0.712,0.391,0.416,0.242,0.185,0.133,519,55.6,5.48
769839118,PREDICTED: fumarylacetoacetase [Pogonomyrmex barbatus],1,0.828,0.337,1.045,0.711,0.421,0.499,0.357,0.339,0.258,417,46.2,6.29
769852862,PREDICTED: sex-regulated protein janus-A-like isoform X2 [Pogonomyrmex barbatus],1,0.830,0.368,1.087,0.710,0.389,0.428,0.294,0.328,0.279,120,13.6,6.68
769866875,PREDICTED: maltase 1-like [Pogonomyrmex barbatus],1,0.836,0.344,1.074,0.709,0.417,0.503,0.322,0.305,0.263,577,66.5,4.92
769832134,"PREDICTED: thioredoxin, mitochondrial [Pogonomyrmex barbatus]",1,0.791,0.334,1.042,0.709,0.348,0.487,0.334,0.455,0.358,138,15.8,8.79
769835200,PREDICTED: ubiquitin-conjugating enzyme E2 variant 2 [Pogonomyrmex barbatus],1,0.854,0.324,1.079,0.708,0.347,0.450,0.282,0.351,0.286,144,16.4,7.14
769866067,PREDICTED: profilin [Pogonomyrmex barbatus],1,0.852,0.328,1.128,0.705,0.353,0.375,0.227,0.210,0.201,126,13.8,5.92
769865398,PREDICTED: stress-induced-phosphoprotein 1 [Pogonomyrmex barbatus],1,0.816,0.324,1.040,0.704,0.339,0.488,0.320,0.352,0.273,540,61.3,7.14
769844022,PREDICTED: catalase [Pogonomyrmex barbatus],1,0.822,0.306,1.080,0.704,0.391,0.465,0.303,0.251,0.143,513,58.1,8.41
769857286,PREDICTED: aminopeptidase N [Pogonomyrmex barbatus],1,0.800,0.331,0.993,0.703,0.385,0.435,0.315,0.296,0.288,972,112.6,6.09
769864512,PREDICTED: 3-hydroxyacyl-CoA dehydrogenase type-2 [Pogonomyrmex barbatus],1,0.849,0.307,1.072,0.702,0.349,0.421,0.246,0.163,0.118,256,27.1,9.06
769848889,PREDICTED: LOW QUALITY PROTEIN: 2-hydroxyacyl-CoA lyase 1 [Pogonomyrmex barbatus],1,0.796,0.365,0.968,0.701,0.388,0.443,0.306,0.255,0.172,566,62.5,7.44
769833233,PREDICTED: putative protein FAM10A4 [Pogonomyrmex barbatus],1,0.809,0.338,1.038,0.701,0.372,0.483,0.292,0.317,0.297,379,42.3,5.20
769843918,PREDICTED: neutral alpha-glucosidase AB [Pogonomyrmex barbatus],1,0.836,0.390,0.978,0.700,0.407,0.475,0.344,0.330,0.252,918,105.4,6.04
769834650,PREDICTED: LOW QUALITY PROTEIN: dehydrogenase/reductase SDR family member 11-like [Pogonomyrmex barbatus],1,0.791,0.327,0.878,0.699,0.326,0.277,0.204,0.203,0.197,262,28.7,7.49
769859353,PREDICTED: polyubiquitin-B [Pogonomyrmex barbatus],1,0.822,0.321,1.021,0.699,0.371,0.445,0.295,0.297,0.284,231,25.9,6.81
769862423,"PREDICTED: serine hydroxymethyltransferase, cytosolic isoform X2 [Pogonomyrmex barbatus]",1,0.821,0.344,1.024,0.699,0.414,0.490,0.348,0.295,0.216,464,51.6,8.27
769836723,"PREDICTED: superoxide dismutase [Cu-Zn], chloroplastic-like [Pogonomyrmex barbatus]",1,0.752,0.320,1.069,0.697,0.368,0.555,0.317,0.391,0.377,175,18.1,5.92
769861284,"PREDICTED: succinate-semialdehyde dehydrogenase, mitochondrial [Pogonomyrmex barbatus]",1,0.839,0.311,1.002,0.697,0.346,0.399,0.274,0.209,0.156,506,55.2,8.48
769844696,PREDICTED: protein yellow-like [Pogonomyrmex barbatus],1,0.821,0.314,1.036,0.695,0.363,0.394,0.300,0.270,0.205,406,46.3,5.69
769860003,PREDICTED: fumarylacetoacetate hydrolase domain-containing protein 2A isoform X2 [Pogonomyrmex barbatus],1,0.802,0.314,1.067,0.694,0.396,0.467,0.314,0.289,0.200,335,36.6,8.50
769853858,PREDICTED: eukaryotic translation initiation factor 5A [Pogonomyrmex barbatus],1,0.759,0.306,1.113,0.694,0.385,0.505,0.336,0.392,0.360,160,17.7,5.26
769842704,"PREDICTED: fatty acid-binding protein 2, liver-like [Pogonomyrmex barbatus]",1,0.782,0.298,1.027,0.693,0.377,0.525,0.345,0.400,0.371,134,14.9,7.24
769849050,PREDICTED: adenylate kinase isoenzyme 1 [Pogonomyrmex barbatus],1,0.852,0.316,1.116,0.693,0.344,0.405,0.256,0.230,0.188,189,21.1,5.54
769830873,"PREDICTED: uncharacterized protein LOC105424622, partial [Pogonomyrmex barbatus]",1,0.763,0.342,1.068,0.692,0.358,0.425,0.253,0.260,0.242,384,42.0,6.76
769837606,PREDICTED: venom dipeptidyl peptidase 4 [Pogonomyrmex barbatus],1,0.813,0.388,0.870,0.691,0.395,0.555,0.402,0.405,0.329,773,87.4,5.44
769858525,PREDICTED: ubiquitin-conjugating enzyme E2 N [Pogonomyrmex barbatus],1,0.784,0.328,0.980,0.691,0.347,0.385,0.292,0.282,0.259,151,17.2,6.01
769838592,PREDICTED: LOW QUALITY PROTEIN: twitchin-like [Pogonomyrmex barbatus],1,0.798,0.348,1.013,0.690,0.379,0.496,0.326,0.357,0.312,8533,954.2,6.51
769863524,PREDICTED: RNA-binding protein lark isoform X7 [Pogonomyrmex barbatus],1,0.827,0.361,1.019,0.689,0.388,0.446,0.334,0.353,0.350,296,33.0,8.90
769863628,PREDICTED: 60S ribosomal protein L13 [Pogonomyrmex barbatus],1,0.838,0.295,1.114,0.687,0.363,0.393,0.288,0.319,0.316,219,25.2,11.02
769839775,PREDICTED: heat shock protein beta-1 isoform X2 [Pogonomyrmex barbatus],1,0.767,0.289,1.051,0.687,0.318,0.443,0.289,0.348,0.351,190,21.5,5.87
769846283,PREDICTED: uncharacterized protein LOC105425395 [Pogonomyrmex barbatus],1,0.793,0.335,0.974,0.683,0.397,0.619,0.451,0.479,0.383,3433,389.9,6.49
769869146,PREDICTED: transferrin [Pogonomyrmex barbatus],1,0.792,0.311,1.013,0.683,0.372,0.517,0.331,0.352,0.287,709,78.0,5.58
769863436,PREDICTED: LOW QUALITY PROTEIN: ferritin subunit [Pogonomyrmex barbatus],1,0.829,0.306,1.027,0.680,0.375,0.453,0.300,0.353,0.314,183,21.0,5.63
769862662,"PREDICTED: glutamate dehydrogenase, mitochondrial [Pogonomyrmex barbatus]",1,0.790,0.308,0.998,0.679,0.378,0.453,0.301,0.261,0.136,559,62.1,8.02
769868320,PREDICTED: retinoid-inducible serine carboxypeptidase-like isoform X2 [Pogonomyrmex barbatus],1,0.801,0.342,1.025,0.679,0.388,0.485,0.303,0.325,0.288,437,49.3,5.99
769830843,PREDICTED: peroxiredoxin-like [Pogonomyrmex barbatus],1,0.847,0.319,1.070,0.679,0.383,0.500,0.302,0.317,0.256,242,27.0,8.90
769843089,PREDICTED: LOW QUALITY PROTEIN: titin-like [Pogonomyrmex barbatus],1,0.826,0.354,0.987,0.679,0.393,0.469,0.298,0.287,0.250,10657,1203.3,5.20
769835571,PREDICTED: restin homolog isoform X6 [Pogonomyrmex barbatus],1,0.825,0.326,1.042,0.679,0.428,0.501,0.372,0.448,0.339,1603,183.3,5.34
769846059,PREDICTED: ubiquitin-conjugating enzyme E2-17 kDa [Pogonomyrmex barbatus],1,0.827,0.335,1.119,0.678,0.386,0.431,0.297,0.321,0.235,147,16.7,7.30
769855988,PREDICTED: lipid storage droplets surface-binding protein 2-like [Pogonomyrmex barbatus],1,0.826,0.311,1.041,0.678,0.360,0.453,0.277,0.297,0.261,278,30.3,7.20
769864709,PREDICTED: TPPP family protein CG45057 isoform X2 [Pogonomyrmex barbatus],1,0.827,0.327,1.070,0.676,0.375,0.461,0.299,0.384,0.348,209,22.6,9.11
769858718,PREDICTED: proteasome subunit beta type-3 isoform X1 [Pogonomyrmex barbatus],1,0.841,0.333,0.982,0.676,0.342,0.396,0.274,0.222,0.192,205,23.1,5.67
769857974,"PREDICTED: protein msta, isoform B-like isoform X3 [Pogonomyrmex barbatus]",1,0.823,0.363,1.004,0.676,0.380,0.402,0.283,0.289,0.272,509,57.3,6.07
769843894,PREDICTED: histone H4 [Pogonomyrmex barbatus],1,0.835,0.277,1.240,0.676,0.291,0.327,0.187,0.210,0.243,103,11.4,11.36
769854833,PREDICTED: aminoacylase-1 [Pogonomyrmex barbatus],1,0.844,0.330,0.995,0.675,0.356,0.420,0.252,0.186,0.145,405,45.8,5.24
769861260,PREDICTED: dehydrogenase/reductase SDR family member 4 [Pogonomyrmex barbatus],1,0.843,0.309,0.976,0.675,0.381,0.389,0.224,0.198,0.172,288,31.0,9.09
769854534,PREDICTED: soma ferritin [Pogonomyrmex barbatus],1,0.771,0.329,1.043,0.675,0.393,0.491,0.292,0.407,0.360,169,19.6,5.01
769853277,"PREDICTED: myophilin, partial [Pogonomyrmex barbatus]",1,0.788,0.340,0.985,0.674,0.391,0.439,0.311,0.369,0.298,206,23.0,9.14
769859605,"PREDICTED: inorganic pyrophosphatase, partial [Pogonomyrmex barbatus]",1,0.771,0.326,1.059,0.674,0.382,0.444,0.278,0.286,0.240,237,27.3,5.29
769863287,PREDICTED: peptidyl-prolyl cis-trans isomerase-like [Pogonomyrmex barbatus],1,0.801,0.311,1.032,0.673,0.380,0.502,0.305,0.372,0.340,209,22.9,9.61
