,slope,Tm,min,Accession,Description,X15,X20,X30,X35,X40,X45,X50,X55,X60,X..AAs,MW..kDa.,calc..pI
27,0.1838552,34.17705112,0.120812365,769837255,PREDICTED: adenylyl cyclase-associated protein 1 isoform X3 [Pogonomyrmex barbatus],1,0.749,0.847,0.503,0.28,0.253,0.157,0.157,0.131,415,45.6,7.14
28,0.381215447,34.74031492,0.185862048,769837334,"PREDICTED: probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial isoform X2 [Pogonomyrmex barbatus]",1,0.811,0.93,0.545,0.291,0.271,0.174,0.19,0.13,496,53.5,7.78
29,0.222649709,33.6563611,0.132237993,769837339,"PREDICTED: pyruvate carboxylase, mitochondrial isoform X2 [Pogonomyrmex barbatus]",1,0.785,0.82,0.481,0.251,0.229,0.15,0.145,0.138,1179,129.9,6.68
30,0.380185119,33.96349928,0.169202944,769838199,PREDICTED: peroxisomal acyl-coenzyme A oxidase 3 isoform X4 [Pogonomyrmex barbatus],1,0.752,0.894,0.472,0.26,0.257,0.115,0.173,0.146,670,75.8,8.41
31,0.226492667,34.47102854,0.154073888,769838260,PREDICTED: annexin B9-like [Pogonomyrmex barbatus],1,0.75,0.893,0.506,0.291,0.283,0.185,0.174,0.126,518,56.9,6.01
32,0.275573158,34.62426405,0.131021194,769839252,PREDICTED: actin-interacting protein 1 [Pogonomyrmex barbatus],1,0.751,0.905,0.487,0.286,0.233,0.134,0.136,0.105,538,59.3,6.67
33,0.3012992,34.18081284,0.123981155,769839576,PREDICTED: glycogen phosphorylase [Pogonomyrmex barbatus],1,0.744,0.862,0.49,0.227,0.2,0.127,0.13,0.106,844,97.5,6.7
34,0.32446792,34.85133102,0.142656233,769840000,PREDICTED: uncharacterized protein LOC105423198 [Pogonomyrmex barbatus],1,0.751,0.908,0.537,0.263,0.238,0.138,0.132,0.121,276,31.2,8.73
35,0.433976774,33.75704354,0.220704363,769840091,PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC105423236 [Pogonomyrmex barbatus],1,0.76,0.895,0.493,0.279,0.279,0.197,0.216,0.195,275,32.8,9.89
36,0.295576375,33.98676644,0.142387784,769840120,PREDICTED: V-type proton ATPase subunit C isoform X2 [Pogonomyrmex barbatus],1,0.779,0.858,0.479,0.247,0.225,0.151,0.137,0.122,386,44.5,8.02
37,0.046687825,36.0425087,-0.000707289,769840189,PREDICTED: elongation factor 1-alpha [Pogonomyrmex barbatus],1,0.821,0.833,0.532,0.294,0.282,0.176,0.156,0.13,461,50.5,9.09
38,0.240546532,33.86581878,0.209237679,769840245,PREDICTED: LOW QUALITY PROTEIN: calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type [Pogonomyrmex barbatus],1,0.85,0.841,0.514,0.345,0.294,0.205,0.218,0.211,1020,112.1,5.68
39,0.282544638,34.37779611,0.1639201,769840409,"PREDICTED: probable pyruvate dehydrogenase E1 component subunit alpha, mitochondrial isoform X2 [Pogonomyrmex barbatus]",1,0.765,0.868,0.534,0.268,0.244,0.189,0.17,0.136,396,43.6,8.07
40,0.33422217,34.17298244,0.168397673,769840844,"PREDICTED: acetyl-CoA acetyltransferase, mitochondrial [Pogonomyrmex barbatus]",1,0.792,0.884,0.497,0.271,0.246,0.172,0.165,0.129,377,40.1,7.66
41,0.417978227,34.87962101,0.179241219,769841161,PREDICTED: LOW QUALITY PROTEIN: D-arabinitol dehydrogenase 1-like [Pogonomyrmex barbatus],1,0.782,0.964,0.542,0.296,0.26,0.158,0.164,0.135,262,28.9,7.97
42,0.318883377,35.07340209,0.089481327,769841322,"PREDICTED: actin-5, muscle-specific [Pogonomyrmex barbatus]",1,0.768,0.91,0.52,0.238,0.181,0.098,0.079,0.062,376,41.8,5.48
43,0.318883377,35.07340209,0.089481327,769841324,"PREDICTED: actin, muscle [Pogonomyrmex barbatus]",1,0.768,0.91,0.52,0.238,0.181,0.098,0.079,0.062,376,41.7,5.48
44,0.193558883,33.77360779,0.128553419,769841563,PREDICTED: bleomycin hydrolase isoform X2 [Pogonomyrmex barbatus],1,0.75,0.841,0.487,0.252,0.263,0.16,0.141,0.145,454,52,6.54
45,0.208935499,33.91451851,0.078729383,769842333,"PREDICTED: electron transfer flavoprotein subunit alpha, mitochondrial [Pogonomyrmex barbatus]",1,0.741,0.83,0.466,0.219,0.183,0.113,0.103,0.083,332,35.2,8.75
46,0.213099354,33.43446068,0.07092074,769843321,"PREDICTED: malate dehydrogenase, cytoplasmic [Pogonomyrmex barbatus]",1,0.726,0.821,0.424,0.202,0.156,0.095,0.095,0.085,332,36.3,6.58
47,0.196465213,33.37952198,0.072950443,769843800,PREDICTED: isocitrate dehydrogenase [NADP] cytoplasmic [Pogonomyrmex barbatus],1,0.733,0.816,0.429,0.209,0.176,0.107,0.099,0.087,477,54,7.44
48,0.31306017,34.23388767,0.144641535,769843902,PREDICTED: 15-hydroxyprostaglandin dehydrogenase [NAD(+)]-like [Pogonomyrmex barbatus],1,0.758,0.879,0.494,0.243,0.251,0.135,0.13,0.126,263,28.6,7.46
49,0.152603176,33.33621194,0.079873441,769843996,PREDICTED: uncharacterized protein LOC105424616 [Pogonomyrmex barbatus],1,0.666,0.84,0.456,0.236,0.22,0.123,0.135,0.123,408,48.3,5.25
50,0.137090831,32.12225514,0.05543581,769844206,PREDICTED: ADP-ribosylation factor 1 [Pogonomyrmex barbatus],1,0.64,0.781,0.398,0.221,0.178,0.129,0.118,0.093,182,20.7,6.58
51,0.373072423,34.00141393,0.187952137,769844214,PREDICTED: elongation factor 1-gamma [Pogonomyrmex barbatus],1,0.741,0.882,0.506,0.257,0.247,0.18,0.185,0.168,437,50.1,6.13
52,0.308967338,34.66990469,0.143638763,769844311,"PREDICTED: succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial [Pogonomyrmex barbatus]",1,0.765,0.881,0.539,0.257,0.22,0.149,0.151,0.12,662,72.5,6.9
53,0.3323435,34.15651529,0.161152071,769844760,PREDICTED: uncharacterized protein LOC105424859 [Pogonomyrmex barbatus],1,0.764,0.886,0.489,0.269,0.223,0.192,0.149,0.117,389,43.8,7.08
54,0.205204076,33.60829401,0.167015385,769845209,PREDICTED: LOW QUALITY PROTEIN: UTP--glucose-1-phosphate uridylyltransferase [Pogonomyrmex barbatus],1,0.716,0.857,0.513,0.255,0.273,0.183,0.201,0.178,524,59.7,7.88
55,0.196215912,33.51417094,0.058398759,769845281,PREDICTED: golgin subfamily A member 4-like [Pogonomyrmex barbatus],1,0.715,0.823,0.43,0.2,0.157,0.095,0.088,0.075,2574,293.6,6.62
56,0.376522226,34.46165372,0.169175097,769845410,PREDICTED: chitinase-like protein Idgf4 isoform X3 [Pogonomyrmex barbatus],1,0.751,0.907,0.524,0.256,0.252,0.158,0.159,0.137,445,49.7,8.21
57,0.251705195,33.6826684,0.104483996,769845949,"PREDICTED: 2-oxoglutarate dehydrogenase, mitochondrial [Pogonomyrmex barbatus]",1,0.735,0.828,0.463,0.206,0.178,0.115,0.124,0.106,1014,114.1,7.27
58,0.277653063,34.71958531,0.141815407,769846785,PREDICTED: venom carboxylesterase-6-like [Pogonomyrmex barbatus],1,0.772,0.89,0.526,0.27,0.254,0.161,0.131,0.117,565,63.7,6.76
59,0.288157788,34.09297253,0.112741485,769846835,"PREDICTED: fatty-acid amide hydrolase 2, partial [Pogonomyrmex barbatus]",1,0.739,0.867,0.461,0.236,0.184,0.138,0.114,0.084,520,58.4,8.27
60,0.269170607,34.01694991,0.15259007,769846903,PREDICTED: serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform [Pogonomyrmex barbatus],1,0.77,0.857,0.49,0.275,0.218,0.17,0.15,0.15,309,35.4,5.54
61,0.19199873,34.54027618,0.097601236,769847494,PREDICTED: EH domain-containing protein 3 isoform X2 [Pogonomyrmex barbatus],1,0.727,0.896,0.493,0.201,0.303,0.192,0.092,0.072,534,61.1,6.27
62,0.240959933,34.71214582,0.119624446,769847678,PREDICTED: heat shock protein 83 [Pogonomyrmex barbatus],1,0.753,0.873,0.528,0.254,0.244,0.141,0.133,0.102,722,83.3,5.06
63,0.204323387,34.08841415,0.140887439,769847774,PREDICTED: ATP-dependent 6-phosphofructokinase isoform X4 [Pogonomyrmex barbatus],1,0.762,0.844,0.517,0.269,0.259,0.169,0.171,0.139,796,88,6.99
64,0.289005772,35.11026319,0.116349142,769847882,"PREDICTED: fumarate hydratase, mitochondrial-like isoform X2 [Pogonomyrmex barbatus]",1,0.786,0.913,0.523,0.279,0.224,0.126,0.109,0.09,469,51.1,6.84
65,0.2242267,34.96896483,0.121690537,769848588,PREDICTED: GTP-binding nuclear protein Ran [Pogonomyrmex barbatus],1,0.764,0.875,0.542,0.285,0.241,0.157,0.143,0.107,215,24.7,7.42
66,0.23105727,34.09780256,0.069514909,769848630,"PREDICTED: alpha-actinin, sarcomeric isoform X1 [Pogonomyrmex barbatus]",1,0.729,0.84,0.464,0.211,0.159,0.094,0.083,0.077,891,103,5.83
67,0.16488075,32.95857421,0.141962606,769848741,PREDICTED: pyruvate kinase-like [Pogonomyrmex barbatus],1,0.801,0.746,0.501,0.28,0.271,0.188,0.18,0.148,482,52.3,6.68
68,0.157734166,34.26044258,0.096277119,769849064,PREDICTED: LOW QUALITY PROTEIN: serine/threonine-protein kinase OSR1 [Pogonomyrmex barbatus],1,0.78,0.809,0.496,0.28,0.277,0.162,0.185,0.067,819,90.1,8.54
69,0.251014413,34.20423858,0.122651967,769849193,PREDICTED: alanine aminotransferase 1 [Pogonomyrmex barbatus],1,0.738,0.86,0.496,0.239,0.226,0.131,0.134,0.116,575,62.6,8.7
70,0.212182352,33.98154441,0.131662509,769849279,"PREDICTED: glutaryl-CoA dehydrogenase, mitochondrial [Pogonomyrmex barbatus]",1,0.773,0.828,0.511,0.26,0.231,0.163,0.149,0.138,422,46.1,8.59
71,0.169235069,33.16424361,0.129670797,769849319,PREDICTED: neurochondrin homolog [Pogonomyrmex barbatus],1,0.785,0.78,0.472,0.282,0.255,0.181,0.159,0.139,725,81.3,5.82
72,0.297894459,35.21498509,0.160749239,769849794,PREDICTED: ester hydrolase C11orf54 homolog [Pogonomyrmex barbatus],1,0.776,0.939,0.542,0.324,0.262,0.169,0.161,0.122,337,37.7,5.54
73,0.380931915,34.62170384,0.173447555,769850654,"PREDICTED: LOW QUALITY PROTEIN: glycerol-3-phosphate dehydrogenase, mitochondrial-like [Pogonomyrmex barbatus]",1,0.763,0.917,0.537,0.267,0.255,0.153,0.165,0.147,752,84.3,6.76
74,0.336094256,34.3780134,0.184860619,769851914,PREDICTED: valacyclovir hydrolase [Pogonomyrmex barbatus],1,0.744,0.896,0.529,0.276,0.268,0.195,0.178,0.146,299,34.4,9.07
75,0.263523649,34.46976433,0.147347188,769851924,PREDICTED: tubulin beta-1 chain [Pogonomyrmex barbatus],1,0.745,0.878,0.524,0.257,0.264,0.16,0.151,0.126,447,50.1,4.86
76,0.396665908,34.90673988,0.137267354,769851985,PREDICTED: glutathione S-transferase-like [Pogonomyrmex barbatus],1,0.751,0.937,0.536,0.247,0.213,0.127,0.128,0.1,204,23.8,5.26
77,0.277479674,34.91668862,0.099844938,769852202,"PREDICTED: trifunctional enzyme subunit beta, mitochondrial isoform X2 [Pogonomyrmex barbatus]",1,0.778,0.904,0.494,0.268,0.211,0.106,0.096,0.077,468,50.8,9.16
78,0.348166556,34.74342513,0.131854545,769852227,PREDICTED: uncharacterized protein LOC105427512 [Pogonomyrmex barbatus],1,0.771,0.915,0.515,0.252,0.225,0.125,0.117,0.1,476,55.6,8.66
79,0.389350934,34.47133434,0.179273178,769852281,PREDICTED: rab GDP dissociation inhibitor beta [Pogonomyrmex barbatus],1,0.733,0.916,0.526,0.272,0.238,0.172,0.186,0.138,442,49.7,5.78
80,0.306847938,34.96326998,0.110754401,769852501,PREDICTED: LOW QUALITY PROTEIN: phenoloxidase 2-like [Pogonomyrmex barbatus],1,0.745,0.904,0.524,0.258,0.191,0.116,0.108,0.093,694,79.6,6.61
81,0.179185636,34.01274712,0.090051705,769853175,"PREDICTED: alpha-tocopherol transfer protein-like, partial [Pogonomyrmex barbatus]",1,0.72,0.846,0.481,0.243,0.231,0.128,0.122,0.112,140,16.9,9.57
82,0.288555968,34.04289335,0.146691351,769853339,PREDICTED: protein disulfide-isomerase A3 [Pogonomyrmex barbatus],1,0.733,0.866,0.489,0.248,0.231,0.14,0.151,0.139,492,55.8,5.85
83,0.303951292,34.08459029,0.165267106,769853381,PREDICTED: electron transfer flavoprotein subunit beta [Pogonomyrmex barbatus],1,0.766,0.863,0.509,0.256,0.241,0.172,0.177,0.135,253,27.7,7.43
84,0.330534462,34.30525971,0.145718907,769853980,PREDICTED: chloride intracellular channel exc-4 [Pogonomyrmex barbatus],1,0.777,0.876,0.507,0.241,0.229,0.135,0.144,0.125,260,29.9,6.19
85,0.301139717,34.85246372,0.160294675,769854023,PREDICTED: aminopeptidase N-like [Pogonomyrmex barbatus],1,0.765,0.907,0.545,0.276,0.282,0.167,0.149,0.125,798,92.6,5.4
86,0.16845022,33.44334714,0.064613808,769854116,"PREDICTED: fructose-1,6-bisphosphatase 1 [Pogonomyrmex barbatus]",1,0.734,0.799,0.444,0.23,0.195,0.116,0.107,0.081,338,36.6,6.57
87,0.318464723,34.03818047,0.148088753,769854788,PREDICTED: hydroxysteroid dehydrogenase-like protein 2 [Pogonomyrmex barbatus],1,0.754,0.871,0.48,0.252,0.217,0.145,0.14,0.137,406,43.8,8.63
88,0.280241189,34.11221127,0.127078586,769855011,PREDICTED: LOW QUALITY PROTEIN: cytochrome P450 4g15-like [Pogonomyrmex barbatus],1,0.752,0.861,0.482,0.239,0.215,0.134,0.128,0.113,559,64.3,8.25
89,0.149013013,33.57742973,0.050429871,769855164,PREDICTED: tubulin alpha-1 chain [Pogonomyrmex barbatus],1,0.663,0.837,0.449,0.22,0.205,0.12,0.106,0.086,451,50.1,5.1
90,0.372093968,34.50942502,0.182150141,769855374,PREDICTED: hexokinase type 2 isoform X3 [Pogonomyrmex barbatus],1,0.771,0.918,0.523,0.293,0.238,0.178,0.168,0.16,455,50.5,7.11
91,0.184857903,34.65207824,0.087317574,769855540,PREDICTED: retinol dehydrogenase 11-like [Pogonomyrmex barbatus],1,0.682,0.87,0.537,0.238,0.227,0.12,0.137,0.105,344,39.2,8.6
92,0.196054672,34.22237326,0.102947354,769855638,PREDICTED: L-xylulose reductase [Pogonomyrmex barbatus],1,0.725,0.859,0.491,0.255,0.23,0.127,0.137,0.114,244,26.5,6.23
93,0.344582095,35.0653581,0.099363503,769855687,PREDICTED: actin-5C [Pogonomyrmex barbatus],1,0.765,0.922,0.525,0.238,0.184,0.103,0.088,0.067,376,41.8,5.48
94,0.26471339,34.51515678,0.135879682,769855817,"PREDICTED: probable medium-chain specific acyl-CoA dehydrogenase, mitochondrial [Pogonomyrmex barbatus]",1,0.749,0.876,0.517,0.262,0.236,0.147,0.141,0.122,354,39.3,8.94
95,0.177900453,34.95474843,0.077151934,769855992,PREDICTED: lipid storage droplets surface-binding protein 2-like [Pogonomyrmex barbatus],1,0.689,0.896,0.502,0.283,0.218,0.137,0.114,0.097,269,30.3,7.12
96,0.149013013,33.57742973,0.050429871,769856071,PREDICTED: tubulin alpha-1 chain-like [Pogonomyrmex barbatus],1,0.663,0.837,0.449,0.22,0.205,0.12,0.106,0.086,450,49.9,5.14
97,0.221889695,34.15244724,0.056185284,769856378,PREDICTED: glyceraldehyde-3-phosphate dehydrogenase 2-like [Pogonomyrmex barbatus],1,0.745,0.841,0.446,0.222,0.153,0.088,0.074,0.056,333,35.7,7.87
98,0.175590916,33.91593661,0.097968017,769856402,PREDICTED: uncharacterized protein LOC105428898 isoform X1 [Pogonomyrmex barbatus],1,0.753,0.795,0.521,0.258,0.212,0.139,0.124,0.136,403,46.5,5.88
99,0.17356372,32.90695015,0.082933973,769857383,"PREDICTED: isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial-like [Pogonomyrmex barbatus]",1,0.758,0.756,0.46,0.213,0.192,0.124,0.129,0.095,393,43.4,8.79
100,0.25275166,34.26257822,0.148904999,769857577,PREDICTED: amphiphysin [Pogonomyrmex barbatus],1,0.75,0.873,0.504,0.269,0.253,0.165,0.155,0.134,390,44,6.47
101,0.180608682,32.75281762,0.084998248,769857603,"PREDICTED: uncharacterized protein LOC105429277, partial [Pogonomyrmex barbatus]",1,0.746,0.765,0.444,0.211,0.169,0.122,0.118,0.113,1031,118.8,8.68
102,0.243169214,34.03518831,0.089700134,769857915,PREDICTED: phosphoglycerate kinase [Pogonomyrmex barbatus],1,0.733,0.851,0.458,0.223,0.181,0.109,0.101,0.086,415,44.9,6.58
103,0.180771278,32.8278308,0.057185441,769859538,"PREDICTED: isocitrate dehydrogenase [NAD] subunit beta, mitochondrial [Pogonomyrmex barbatus]",1,0.727,0.789,0.395,0.2,0.156,0.099,0.091,0.076,374,40.8,8.53
104,0.203134008,33.76965817,0.059400375,769859585,"PREDICTED: probable aconitate hydratase, mitochondrial [Pogonomyrmex barbatus]",1,0.717,0.839,0.433,0.204,0.171,0.094,0.086,0.066,788,85.9,8.29
105,0.331656704,34.60579273,0.148545798,769859915,PREDICTED: phosphoglucomutase [Pogonomyrmex barbatus],1,0.75,0.904,0.518,0.262,0.238,0.146,0.142,0.117,572,62.4,6.74
106,0.342402363,34.43571545,0.127348138,769860011,PREDICTED: acetyl-CoA hydrolase-like [Pogonomyrmex barbatus],1,0.749,0.897,0.491,0.24,0.208,0.126,0.117,0.097,482,52.7,7.42
107,0.333634543,34.15194445,0.163471615,769860019,PREDICTED: V-type proton ATPase subunit B [Pogonomyrmex barbatus],1,0.761,0.876,0.503,0.258,0.227,0.157,0.159,0.152,495,55,5.55
108,0.267103348,34.55839802,0.158916029,769860051,PREDICTED: LOW QUALITY PROTEIN: cytosol aminopeptidase-like [Pogonomyrmex barbatus],1,0.783,0.87,0.544,0.266,0.275,0.173,0.164,0.132,519,56.4,6.86
109,0.297139011,34.16396957,0.190757517,769860320,PREDICTED: ribose-phosphate pyrophosphokinase 1 isoform X3 [Pogonomyrmex barbatus],1,0.746,0.874,0.53,0.278,0.274,0.192,0.195,0.173,367,40.2,7.91
110,0.283340836,34.61808832,0.139103706,769861310,PREDICTED: ras-related protein Rab-11A [Pogonomyrmex barbatus],1,0.791,0.906,0.487,0.29,0.253,0.149,0.126,0.107,215,24.5,6.01
111,0.295674476,34.51227084,0.155055357,769861928,PREDICTED: sepiapterin reductase-like [Pogonomyrmex barbatus],1,0.753,0.875,0.535,0.267,0.23,0.152,0.157,0.152,260,29.4,6.9
112,0.24636374,34.41427019,0.076475293,769861993,"PREDICTED: probable citrate synthase 2, mitochondrial [Pogonomyrmex barbatus]",1,0.727,0.852,0.49,0.218,0.162,0.102,0.088,0.075,463,51.5,9.1
113,0.292090317,33.69964557,0.115316385,769862074,PREDICTED: probable cytochrome P450 6a13 [Pogonomyrmex barbatus],1,0.748,0.829,0.464,0.2,0.176,0.119,0.122,0.115,501,57.4,7.69
114,0.24958745,33.9097545,0.146098724,769862115,PREDICTED: O-acetyl-ADP-ribose deacetylase MACROD2-like [Pogonomyrmex barbatus],1,0.823,0.839,0.476,0.283,0.231,0.166,0.144,0.137,264,29.5,8.5
115,0.276803446,33.78245945,0.065253088,769862226,PREDICTED: arginine kinase isoform X3 [Pogonomyrmex barbatus],1,0.715,0.844,0.414,0.187,0.137,0.077,0.07,0.056,355,39.6,6.01
116,0.184718346,34.12167508,0.106811658,769862463,PREDICTED: uncharacterized protein LOC105430926 isoform X2 [Pogonomyrmex barbatus],1,0.742,0.836,0.507,0.257,0.237,0.142,0.143,0.121,574,65,5.19
117,0.18863462,33.95486276,0.072161544,769863326,PREDICTED: prostaglandin reductase 1-like [Pogonomyrmex barbatus],1,0.729,0.836,0.457,0.245,0.182,0.111,0.105,0.089,390,43.4,9.04
118,3.582386837,34.83006289,0.266599997,769864135,PREDICTED: protein lethal(2)essential for life-like [Pogonomyrmex barbatus],1,0.817,1.067,0.525,0.327,0.353,0.219,0.213,0.221,202,23.6,7.49
119,0.146026857,33.30169462,0.043379309,769864843,PREDICTED: failed axon connections-like [Pogonomyrmex barbatus],1,0.689,0.803,0.417,0.238,0.207,0.106,0.098,0.076,154,17.1,5.91
120,0.213947713,35.18029867,0.106471726,769864853,PREDICTED: multifunctional protein ADE2-like [Pogonomyrmex barbatus],1,0.794,0.871,0.534,0.301,0.24,0.141,0.13,0.096,418,46.4,7.72
121,0.329969379,34.66098346,0.148164228,769865008,PREDICTED: bifunctional purine biosynthesis protein PURH [Pogonomyrmex barbatus],1,0.753,0.9,0.528,0.259,0.237,0.141,0.14,0.127,595,65,7.87
122,0.26063941,34.68222033,0.126975993,769865198,PREDICTED: lambda-crystallin homolog isoform X2 [Pogonomyrmex barbatus],1,0.747,0.881,0.525,0.253,0.244,0.145,0.132,0.104,296,33.3,6.8
123,0.363658604,34.17643814,0.138372429,769865238,"PREDICTED: pentatricopeptide repeat-containing protein 2, mitochondrial-like [Pogonomyrmex barbatus]",1,0.766,0.875,0.494,0.218,0.204,0.128,0.136,0.12,389,45.3,8.34
124,0.156306515,34.24832756,0.144639554,769865254,PREDICTED: LOW QUALITY PROTEIN: muscle M-line assembly protein unc-89 [Pogonomyrmex barbatus],1,0.737,0.841,0.54,0.312,0.303,0.197,0.185,0.177,5681,638.1,5.63
125,0.255165146,34.16454967,0.096898229,769865548,PREDICTED: cytochrome P450 9e2-like isoform X1 [Pogonomyrmex barbatus],1,0.748,0.844,0.483,0.224,0.176,0.116,0.104,0.096,517,59.4,7.64
